"Date","Sample_ID","Concentration","Units"
"20/06/2024 03:05:41 PM","0723FENC_17",159,"ng/uL"
"20/06/2024 03:05:41 PM","0723FENC_18",71.2,"ng/uL"
"20/06/2024 03:05:41 PM","0723FENC_19",80.4,"ng/uL"
"20/06/2024 03:05:41 PM","0723FENC_20",52.4,"ng/uL"
"20/06/2024 03:05:41 PM","0723FENC_21",174,"ng/uL"
"20/06/2024 03:05:41 PM","0723FENC_22",66.8,"ng/uL"
"20/06/2024 03:05:41 PM","0723FENC_23",99.2,"ng/uL"
"20/06/2024 03:05:41 PM","0723FENC_24",147,"ng/uL"
"20/06/2024 03:07:45 PM","0723FENC_25",49.2,"ng/uL"
"20/06/2024 03:07:45 PM","0723FENC_26",147,"ng/uL"
"20/06/2024 03:07:45 PM","0723FENC_27",66.8,"ng/uL"
"20/06/2024 03:07:45 PM","0723FENC_28",25.7,"ng/uL"
"20/06/2024 03:07:45 PM","0723FENC_29",10.4,"ng/uL"
"20/06/2024 03:07:45 PM","0723FENC_30",16.8,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_01",64.4,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_02",69.2,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_03",62,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_05",124,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_04",118,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_06",86.4,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_07",48.8,"ng/uL"
"29/05/2024 01:51:08 PM","0823FENC_08",112,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_09",47.6,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_10",81.2,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_11",57.2,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_12",67.6,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_13",55.2,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_14",95.2,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_15",80.8,"ng/uL"
"29/05/2024 01:53:28 PM","0823FENC_16",50.4,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_17",80.8,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_18",78.8,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_19",81.2,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_20",70.8,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_21",87.6,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_22",195,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_23",70.8,"ng/uL"
"29/05/2024 01:55:06 PM","0823FENC_24",43.2,"ng/uL"
